model,avg_train_mse,avg_test_mse,avg_train_sharpe,avg_test_sharpe,std_train_mse,std_test_mse,std_train_sharpe,std_test_sharpe,avg_train_mae,avg_test_mae,std_train_mae,std_test_mae,avg_train_r2,avg_test_r2,std_train_r2,std_test_r2,avg_train_sortino,avg_test_sortino,std_train_sortino,std_test_sortino,avg_train_hit,avg_test_hit,std_train_hit,std_test_hit
TCNFalse,0.04129983986226412,1.3795492379711225,-9.27334947343876,-16.138474610040298,0.011199800247497258,2.440385886033498,10.597102618318237,22.273987845769668,0.15861401993494767,0.7482292915766056,0.021012777574776934,0.6821618065352685,-469.8999281663161,-13068.257258488582,307.80727360631386,14098.65664211838,-12.758160191854355,-18.81256648921424,14.177107711824544,23.119442414354143,0.5048477910793523,0.4906528959062779,0.020046685929687984,0.05234985726470359
LSTMFalse,0.00010007070243143692,0.00022582591135198108,-3.5383274619988714,-11.412416317223334,4.812410268224614e-05,0.0002389362974215202,9.299095223791232,16.28837953523211,0.006806613232653875,0.010554617485747887,0.0014485912691321497,0.0055095777373373525,0.14481868193699762,-1.661748693539546,0.034156341997039485,2.182244666880579,-5.480146085630628,-12.906873677856302,16.29972868064026,17.60840271358864,0.603640283288774,0.5200942757767344,0.017486998304241462,0.05365122981609806
FeedForwardFalse,0.00010122127311590772,0.005897175634835059,-2.649524871341401,-12.693962029292708,3.798961895043257e-05,0.01121316569764116,8.083404847409248,18.56537593236056,0.007471148390322924,0.04611545930115076,0.0011485680032730617,0.04919712557077328,0.09260430244299081,-48.3619288114401,0.23540338246713663,94.66223475627733,-4.073683086760039,-15.513581885316881,19.091116256011016,20.361178740809752,0.597646731138052,0.5186543868261743,0.03501548842135484,0.0641747522742283
TFTFalse,0.00011198764444158699,0.00013143983261006026,-4.308866185462699,-12.597575454066995,5.585064520217725e-05,0.00017179032029011545,7.873768590744331,19.7126741762949,0.007107354951306031,0.00732338704312077,0.00158213996913036,0.002783833926658232,0.08309108018875122,-0.11805983690115121,0.0386680520768008,0.283695737454689,-6.897705597420357,-16.05836850601895,11.986043775222404,22.421521497373636,0.5856546102994007,0.5526370440521096,0.012691664350282262,0.06071246063377679
TransformerFalse,0.00012410654520723395,0.0005687627882042972,-5.973024436310812,-10.286318311813412,5.03103944158275e-05,0.00094087480866771,8.124324510917898,14.09110817980608,0.007824922338701211,0.01583599352922577,0.0013474780322906396,0.01287743177813649,-0.10270659281657292,-4.6494988936644335,0.11819957758552851,5.981927791614216,-8.98455429551466,-11.580944191840683,11.907101513269224,15.024877895151826,0.5180886288282468,0.5349806923842548,0.0390411963844221,0.06109562618191442
CNNFalse,0.0001809920859858931,0.00152143811255183,-2.8134507748062583,-12.448376579705334,0.00012117583758801143,0.0032009099502683653,6.144745769335656,15.762266614626418,0.010206259464701781,0.022422380458850127,0.004153096132758666,0.024772409852001534,-0.6199353291438177,-9.961672526139479,0.973127951278589,16.587075575978435,-3.2137848200416856,-14.712274526954104,10.306506818218303,16.815196804100736,0.5518670774639729,0.49570580340041803,0.07400516393120177,0.05173125745853116
TCNTrue,0.01732622850865412,0.054825254724934123,-8.686298788117318,-15.6736388872867,0.011507630651449927,0.07043201444627503,9.630126670144888,19.405298005932035,0.09790122265426013,0.15443654544651508,0.03476197483534564,0.09654684835354563,-200.30873819497916,-567.333583171551,190.65903718596394,460.179687207149,-11.37114987733523,-18.275252655356805,12.499111902898187,20.52196491141152,0.49577815402548453,0.4998974889689537,0.021399736893784018,0.03724590159359658
LSTMTrue,0.00011437891561609622,9.209561064311017e-05,-6.02200730903406,-11.220557029038371,5.318851008227028e-05,5.7241476627352904e-05,7.851199602598512,15.440835956030815,0.007158310367510869,0.006801604185826504,0.0015446412032981297,0.002081630232370124,0.01835735486103938,-0.056062707534203164,0.016451665687630696,0.08918758681175426,-9.062177605049923,-12.69217051367407,11.194604268320285,15.989116531094199,0.5436591982933732,0.5058690585243746,0.030711459471962833,0.05123688870930358
FeedForwardTrue,0.0001485578479612461,0.00016002138867266834,-7.512563588045835,-11.637173802240644,6.910614078793343e-05,0.00011966014077319104,11.043675081068242,13.649164143590637,0.008605553553654598,0.009046501551683132,0.0021076225195863756,0.0026648839458761017,-0.2466007425234868,-0.7116640622799213,0.3054953983557718,0.614681534592132,-10.626458873578438,-13.732086134035997,14.889224711065802,14.969698770984856,0.523736227269328,0.5084532180991822,0.03850158660614613,0.0396462968706377
TFTTrue,0.00012477120225622246,0.00011123768014770646,-4.878285336613781,-10.066061951764151,6.488022194206831e-05,0.00011598708747407475,6.1513536025734386,13.309603703297155,0.007377589587122202,0.0070304556821401305,0.0016475528700812998,0.0027383251311750654,-0.013970017433166504,-0.01789624415911161,0.037974049143499014,0.022658638227363484,-6.763794957089332,-11.882001283765906,8.331402879765559,14.005340465889873,0.5133499645290681,0.5163236215820128,0.04589654495685847,0.05431939775940352
